,long,lat,prob,target
2465,126.8847311,37.48458949,1,TRUE
2475,126.904343,37.465061,1,TRUE
2480,126.8231065,37.49181866,1,TRUE
2502,126.8882072,37.48276919,1,TRUE
2520,126.8577729,37.50059443,1,TRUE
2523,126.8927614,37.47962349,1,TRUE
2556,126.8879073,37.49582991,1,TRUE
2566,126.8231065,37.49181866,1,TRUE
2578,126.8497243,37.485307,1,TRUE
2601,126.8882072,37.48276919,1,TRUE
2604,126.8869872,37.50904858,1,TRUE
2623,126.8802318,37.51241889,1,TRUE
2648,126.8652147,37.49779202,1,TRUE
2649,126.8836054,37.48720131,1,TRUE
2693,126.8898939,37.48291494,1,TRUE
2695,126.853601,37.551217,1,TRUE
2698,126.8653953,37.4939309,1,TRUE
2710,126.8391137,37.48968634,1,TRUE
2721,126.8840967,37.49998888,1,TRUE
2743,126.8264393,37.49016576,1,TRUE
2763,126.8455603,37.5065906,1,TRUE
2765,126.8997088,37.48555823,1,TRUE
2776,126.8873096,37.48416671,1,TRUE
2798,126.842383,37.560895,1,TRUE
2801,126.8919082,37.50364716,1,TRUE
2809,126.8879073,37.49582991,1,TRUE
2814,126.8879073,37.49582991,1,TRUE
2842,126.8879073,37.49582991,1,TRUE
2865,126.8879073,37.49582991,1,TRUE
2876,126.8412305,37.49394195,1,TRUE
2906,126.8883489,37.50302756,1,TRUE
2912,126.8879073,37.49582991,1,TRUE
2942,126.8879073,37.49582991,1,TRUE
2949,126.8857218,37.49631076,1,TRUE
2963,126.8579748,37.48952311,1,TRUE
2972,126.8391137,37.48968634,1,TRUE
2980,126.8949337,37.49142864,1,TRUE
2996,126.8657986,37.49761248,1,TRUE
3009,126.8657524,37.49562301,1,TRUE
3037,126.8564567,37.49338119,1,TRUE
3046,126.8412305,37.49394195,1,TRUE
3054,126.8879073,37.49582991,1,TRUE
3071,126.8817922,37.48691479,1,TRUE
3076,126.8857218,37.49631076,1,TRUE
3077,126.8879073,37.49582991,1,TRUE
3084,126.8672802,37.4967064,1,TRUE
3093,126.8652147,37.49779202,1,TRUE
3098,126.8476636,37.50678074,1,TRUE
3103,126.8818757,37.48561743,1,TRUE
3105,126.8264393,37.49016576,1,TRUE
3113,126.882774,37.50115888,1,TRUE
3130,126.856012,37.539094,1,TRUE
3134,126.8725589,37.4909345,1,TRUE
3157,126.8884164,37.48502191,1,TRUE
3159,126.850334,37.560326,1,TRUE
3160,126.8725589,37.4909345,1,TRUE
3168,126.8840967,37.49998888,1,TRUE
3170,126.905891,37.465061,1,TRUE
3188,126.8499801,37.48857258,1,TRUE
3189,126.8577729,37.50059443,1,TRUE
3205,126.8725589,37.4909345,1,TRUE
3208,126.8897653,37.49965913,1,TRUE
3212,126.8244717,37.49212704,1,TRUE
3229,126.8264393,37.49016576,1,TRUE
3232,126.8940818,37.47968595,1,TRUE
3244,126.846057,37.544097,1,TRUE
3256,126.8802318,37.51241889,1,TRUE
3261,126.8532783,37.50658242,1,TRUE
3270,126.8898534,37.47967127,1,TRUE
3296,126.8725589,37.4909345,1,TRUE
3303,126.8725589,37.4909345,1,TRUE
3317,126.8421347,37.48340499,1,TRUE
3323,126.8264393,37.49016576,1,TRUE
3334,126.8915926,37.4904165,1,TRUE
3350,126.8913001,37.48002941,1,TRUE
3351,126.8839915,37.48614211,1,TRUE
3353,126.8904716,37.48060529,1,TRUE
3375,126.8613436,37.49974092,1,TRUE
3376,126.8869872,37.50904858,1,TRUE
3394,126.8497243,37.485307,1,TRUE
3415,126.8444549,37.50518358,1,TRUE
3430,126.8943709,37.49281569,1,TRUE
3446,126.8884164,37.48502191,1,TRUE
3458,126.8880933,37.48336736,1,TRUE
3463,126.8814918,37.50243343,1,TRUE
3469,126.8943709,37.49281569,1,TRUE
3475,126.814734,37.578319,1,TRUE
3482,126.8949337,37.49142864,1,TRUE
3484,126.8922188,37.50786415,1,TRUE
3511,126.8412305,37.49394195,1,TRUE
3514,126.8507046,37.4831277,1,TRUE
3517,126.8470554,37.49223052,1,TRUE
3520,126.9733831,37.4877494,1,TRUE
3555,126.8927814,37.49407207,1,TRUE
3558,126.8231065,37.49181866,1,TRUE
3575,126.8556413,37.50107839,1,TRUE
3578,126.8879073,37.49582991,1,TRUE
