"명칭","좌표주소","위도","경도","상세주소","상세내용"
"주정차단속 CCTV","대한민국 서울특별시 금천구 범안로 1236","35.8284724","128.6552358","범안로1236 현대자동차독산점맞은편","관리번호: N105"
"주정차단속 CCTV","대한민국 서울특별시 금천구 문성로 48","37.4766066","126.90895709999995","문성로48","관리번호: N106"
"주정차단속 CCTV","대한민국 서울특별시 금천구 가산디지털2로 129","37.479371","126.87854709999999","가산디지털2로 129","관리번호: N107"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 139","37.4596667","126.90474640000002","독산로139 반도책서점","관리번호: N108"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 199","37.464637","126.9025193","독산로199 선정형외과","관리번호: N109"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 291","37.4727845","126.90303779999999","독산로291 천지랜드한증막","관리번호: N110"
"주정차단속 CCTV","대한민국 서울특별시 가산동 113 가산두산위브아파트","37.4755163","126.89170360000003","가산로113 두산아파트","관리번호: N111"
"주정차단속 CCTV","대한민국 서울특별시 금천구 범안로 1194","35.8284724","128.6552358","범안로1194 24시감자탕","관리번호: N112"
"방범 CCTV","대한민국 서울특별시 금천구 독산로31길 13","37.4564343","126.90431319999993","독산로31길 13","관리번호: T128"
"스쿨존 CCTV","대한민국 서울특별시 금천구 남부순환로 1304-11","37.4781195","126.89644870000006","남부순환로1304-11","관리번호: S101"
"스쿨존 CCTV","대한민국 서울특별시 금천구 범안로 11길","35.8284724","128.6552358","범안로11길 3 두산초교 독산역방향","관리번호: S102"
"스쿨존 CCTV","대한민국 서울특별시 금천구 한내로 69-16","37.4585946","126.88835549999999","한내로 69-16","관리번호: S103"
"스쿨존 CCTV","대한민국 서울특별시 금천구 시흥대로104길 31","37.4655142","126.90005689999998","시흥대로104길 31","관리번호: S104"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로54길 115","37.4671961","126.90768760000003","독산로54길 115","관리번호: S105"
"스쿨존 CCTV","대한민국 서울특별시 금천구 독산로102길","37.4759766","126.90681789999996","독산로102길 108 영남초교","관리번호: S106"
